value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label
133,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,14000,神奈川県,2024000000,2024年
5,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,15000,新潟県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,16000,富山県,2024000000,2024年
3,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,17000,石川県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,18000,福井県,2024000000,2024年
2,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,19000,山梨県,2024000000,2024年
6,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,20000,長野県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,21000,岐阜県,2024000000,2024年
2,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,22000,静岡県,2024000000,2024年
3,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,23000,愛知県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,24000,三重県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,25000,滋賀県,2024000000,2024年
22,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,26000,京都府,2024000000,2024年
76,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,27000,大阪府,2024000000,2024年
98,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,28000,兵庫県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,29000,奈良県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,30000,和歌山県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,31000,鳥取県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,32000,島根県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,33000,岡山県,2024000000,2024年
4,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,34000,広島県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,35000,山口県,2024000000,2024年
2,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,36000,徳島県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,37000,香川県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,38000,愛媛県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,39000,高知県,2024000000,2024年
6,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,40000,福岡県,2024000000,2024年
14,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,41000,佐賀県,2024000000,2024年
22,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,42000,長崎県,2024000000,2024年
12,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,43000,熊本県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,44000,大分県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,45000,宮崎県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,46000,鹿児島県,2024000000,2024年
8,160,建築を伴う除却住宅戸数,15,分譲住宅,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,47000,沖縄県,2024000000,2024年
582,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,00000,全国,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,01000,北海道,2024000000,2024年
2,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,02000,青森県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,03000,岩手県,2024000000,2024年
3,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,04000,宮城県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,05000,秋田県,2024000000,2024年
3,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,06000,山形県,2024000000,2024年
2,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,07000,福島県,2024000000,2024年
6,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,08000,茨城県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,09000,栃木県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,10000,群馬県,2024000000,2024年
10,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,11000,埼玉県,2024000000,2024年
11,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,12000,千葉県,2024000000,2024年
183,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,13000,東京都,2024000000,2024年
105,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,14000,神奈川県,2024000000,2024年
5,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,15000,新潟県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,16000,富山県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,17000,石川県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,18000,福井県,2024000000,2024年
2,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,19000,山梨県,2024000000,2024年
6,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,20000,長野県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,21000,岐阜県,2024000000,2024年
2,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,22000,静岡県,2024000000,2024年
3,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,23000,愛知県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,24000,三重県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,25000,滋賀県,2024000000,2024年
22,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,26000,京都府,2024000000,2024年
64,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,27000,大阪府,2024000000,2024年
91,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,28000,兵庫県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,29000,奈良県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,30000,和歌山県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,31000,鳥取県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,32000,島根県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,33000,岡山県,2024000000,2024年
4,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,34000,広島県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,35000,山口県,2024000000,2024年
2,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,36000,徳島県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,37000,香川県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,38000,愛媛県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,39000,高知県,2024000000,2024年
6,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,40000,福岡県,2024000000,2024年
14,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,41000,佐賀県,2024000000,2024年
20,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,42000,長崎県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,43000,熊本県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,44000,大分県,2024000000,2024年
0,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,45000,宮崎県,2024000000,2024年
1,160,建築を伴う除却住宅戸数,15,分譲住宅,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,46000,鹿児島県,2024000000,2024年
